                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9319,                 0.4803,                  0.925,                 2.0313,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.8115,                 0.5337,                 0.9314,                 1.9794,              0.0065996,              0.0065996,              0.0065996
                      3,                 1.7477,                 0.5888,                 0.9558,                 1.9871,               0.009801,               0.009801,               0.009801
                      4,                 1.4703,                 0.6631,                 0.9692,                  1.905,               0.009703,               0.009703,               0.009703
                      5,                 1.3562,                 0.6777,                 0.9754,                 1.8799,               0.009703,               0.009703,               0.009703
                      6,                 1.3034,                 0.7092,                 0.9774,                 1.8574,               0.009604,               0.009604,               0.009604
                      7,                 1.2708,                 0.7108,                 0.9797,                  1.857,               0.009505,               0.009505,               0.009505
                      8,                 1.2608,                  0.692,                 0.9793,                 1.8612,               0.009406,               0.009406,               0.009406
                      9,                  1.257,                 0.7093,                 0.9805,                 1.8565,               0.009307,               0.009307,               0.009307
                     10,                 1.2626,                 0.7021,                 0.9802,                 1.8574,               0.009208,               0.009208,               0.009208
                     11,                 1.2404,                 0.7101,                 0.9807,                 1.8498,               0.009109,               0.009109,               0.009109
                     12,                 1.2267,                  0.729,                 0.9803,                  1.833,                0.00901,                0.00901,                0.00901
                     13,                 1.2261,                  0.733,                 0.9809,                 1.8223,               0.008911,               0.008911,               0.008911
                     14,                 1.2387,                 0.7346,                 0.9817,                 1.8189,               0.008812,               0.008812,               0.008812
                     15,                 1.2069,                 0.7361,                 0.9819,                 1.8136,               0.008713,               0.008713,               0.008713
                     16,                 1.1929,                 0.7411,                 0.9829,                 1.8106,               0.008614,               0.008614,               0.008614
                     17,                 1.1816,                 0.7465,                 0.9846,                 1.8079,               0.008515,               0.008515,               0.008515
                     18,                   1.17,                 0.7456,                 0.9842,                 1.8058,               0.008416,               0.008416,               0.008416
                     19,                 1.1503,                 0.7447,                  0.985,                  1.804,               0.008317,               0.008317,               0.008317
                     20,                 1.1532,                 0.7454,                 0.9848,                 1.8015,               0.008218,               0.008218,               0.008218
                     21,                 1.1444,                 0.7472,                 0.9852,                 1.7998,               0.008119,               0.008119,               0.008119
                     22,                 1.1388,                 0.7485,                 0.9851,                 1.7982,                0.00802,                0.00802,                0.00802
                     23,                 1.1547,                 0.7502,                 0.9849,                 1.7973,               0.007921,               0.007921,               0.007921
                     24,                 1.1507,                 0.7498,                 0.9853,                 1.7967,               0.007822,               0.007822,               0.007822
                     25,                 1.1196,                 0.7481,                 0.9853,                 1.7958,               0.007723,               0.007723,               0.007723
