                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9319,                 0.4803,                  0.925,                 2.0313,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.7867,                 0.5181,                   0.93,                  2.007,              0.0063357,              0.0063357,              0.0063357
                      3,                 1.7125,                 0.6138,                 0.9551,                 1.9671,               0.009009,               0.009009,               0.009009
                      4,                 1.4588,                 0.6599,                  0.969,                 1.8975,               0.008515,               0.008515,               0.008515
                      5,                 1.3318,                 0.6779,                 0.9756,                 1.8808,               0.008515,               0.008515,               0.008515
                      6,                 1.2657,                 0.7111,                 0.9772,                 1.8509,                0.00802,                0.00802,                0.00802
                      7,                 1.2269,                 0.7177,                 0.9797,                 1.8394,               0.007525,               0.007525,               0.007525
                      8,                 1.1921,                 0.7223,                 0.9798,                 1.8222,                0.00703,                0.00703,                0.00703
                      9,                 1.1589,                 0.7376,                 0.9811,                  1.818,               0.006535,               0.006535,               0.006535
                     10,                 1.1178,                 0.7426,                 0.9821,                  1.806,                0.00604,                0.00604,                0.00604
                     11,                 1.1159,                 0.7516,                 0.9828,                 1.7982,               0.005545,               0.005545,               0.005545
                     12,                 1.0793,                 0.7544,                 0.9841,                 1.7963,                0.00505,                0.00505,                0.00505
                     13,                 1.0455,                 0.7623,                 0.9857,                  1.783,               0.004555,               0.004555,               0.004555
                     14,                 1.0425,                 0.7652,                  0.986,                 1.7795,                0.00406,                0.00406,                0.00406
                     15,                 1.0063,                 0.7679,                 0.9856,                 1.7756,               0.003565,               0.003565,               0.003565
                     16,                0.97885,                 0.7724,                 0.9867,                 1.7719,                0.00307,                0.00307,                0.00307
                     17,                0.96559,                 0.7757,                 0.9866,                 1.7699,               0.002575,               0.002575,               0.002575
                     18,                0.94385,                 0.7795,                 0.9862,                 1.7665,                0.00208,                0.00208,                0.00208
                     19,                0.91889,                 0.7796,                 0.9867,                 1.7652,               0.001585,               0.001585,               0.001585
                     20,                0.91088,                 0.7817,                 0.9863,                 1.7659,                0.00109,                0.00109,                0.00109
